mes,num_clientes,clientes_que_repiten,clientes_nuevos,ventas_actuales,ventas_clientes_nuevos,ventas_clientes_que_repiten,promedio_ventas_clientes_nuevos,promedio_ventas_clientes_que_repiten,porcentaje_clientes_que_repiten,porcentaje_ventas_clientes_que_repiten
2011-01-01,741,324,417,569445.04,293207.35,276237.69,26.55623131962685,27.106043567853987,0.43724696356275305,0.48509982631510856
2011-02-01,758,378,380,447137.35,158142.07,288995.28,17.707095510021276,26.279465308720564,0.49868073878627966,0.646323282991233
2011-03-01,974,522,452,595500.76,200069.96,395430.8,17.461159015534996,25.156231312424453,0.5359342915811088,0.6640307226476083
2011-04-01,856,556,300,469200.36,122011.49,347188.87,16.85707253384913,22.535951577307543,0.6495327102803738,0.739958659153717
2011-05-01,1056,772,284,678594.56,124103.78,554490.78,20.27508250285901,24.975937119949553,0.7310606060606061,0.8171164531587167
2011-06-01,991,749,242,661213.69,135742.95,525470.74,23.76452205882353,24.471230848041728,0.7558022199798183,0.7947063830453964
2011-07-01,949,761,188,600091.01,74008.75,526082.26,14.825470953525642,24.093531486146095,0.8018967334035827,0.8766707888580587
2011-08-01,935,766,169,645343.9,79756.1,565587.8,16.42085649577929,25.527523018595417,0.8192513368983957,0.8764130256751478
2011-09-01,1266,967,299,952838.38,155103.9,797734.48,18.69848113321278,25.13737138805735,0.7638230647709321,0.8372190878011881
2011-10-01,1364,1006,358,1039318.79,174721.76,864597.03,14.84088677482375,22.882623067965277,0.7375366568914956,0.8318881928421596
2011-11-01,1665,1341,324,1161817.38,136592.12,1025225.26,12.193547580789144,19.219490092420752,0.8054054054054054,0.8824323664361089
