"Mes","Carreras_Dia","Facturacion_Dia","Carreras_Noche","Facturacion_Noche"
2025-01-01,1878,10832.27,344,2752
2025-02-01,2182,19032.47,307,2358.32
2025-03-01,2030,16263.27,694,5110.36
2025-04-01,2124,12641.63,599,4220.23
2025-05-01,1441,9485.62,389,2616.91
2025-06-01,1491,7606.48,571,3659.59
2025-07-01,1270,9550.61,531,3234.27
2025-08-01,1736,9018.63,607,3004.05
2025-09-01,1225,10724.18,833,2543.64
2025-10-01,1644,8842.83,662,2400.27
2025-11-01,1874,15029.32,671,3233
2025-01-01,2187,13664.31,578,2601
