fecha,producto,cantidad,precio_unitario,vendedor
2025-09-17,Auriculares,4.0,,Christopher
2025-09-11,Mouse,3.0,33.47,Andrew
2025-10-02,Auriculares,9.0,86.28,Stephanie
2025-09-24,Laptop,10.0,778.91,Steven
2025-11-01,Monitor,4.0,237.39,Jill
2025-09-18,Impresora,10.0,152.64,Connie
2025-09-05,Laptop,9.0,582.35,
2025-10-20,Monitor,4.0,196.17,Tasha
2025-09-17,Monitor,1.0,158.32,Shannon
2025-10-21,Webcam,3.0,35.47,Carol
2025-10-22,Auriculares,,45.73,Jeff
2025-11-03,Webcam,,55.66,Donna
2025-09-08,Laptop,6.0,730.13,Joe
2025-10-25,Impresora,5.0,157.45,Tony
2025-10-13,Webcam,2.0,,Terri
2025-09-06,Monitor,2.0,231.96,Ryan
2025-09-06,Impresora,6.0,138.68,Melissa
2025-10-17,Impresora,4.0,190.68,Sarah
2025-10-16,Auriculares,5.0,86.66,Phillip
2025-09-24,Laptop,4.0,749.82,Amber
2025-10-20,Webcam,6.0,,Gabriel
2025-09-09,Mouse,6.0,28.83,Sabrina
2025-09-29,Teclado,2.0,47.38,Richard
2025-10-24,Impresora,3.0,172.88,David
2025-11-01,Impresora,7.0,147.66,
2025-10-04,Teclado,9.0,37.89,Laura
2025-09-13,Mouse,1.0,18.85,Andrew
2025-10-20,Mouse,1.0,10.89,Melissa
2025-09-18,Webcam,4.0,45.27,Robert
2025-09-21,Impresora,6.0,,Christina
2025-10-18,Mouse,8.0,20.51,Richard
2025-10-25,Mouse,5.0,18.35,Caroline
2025-10-25,Mouse,5.0,25.22,Shawn
2025-10-06,Auriculares,10.0,85.67,Clayton
2025-09-16,Monitor,4.0,252.35,
2025-09-24,Mouse,9.0,20.16,Jenna
2025-10-19,Monitor,2.0,230.45,Rachel
2025-09-10,Mouse,,26.34,Philip
2025-10-21,Webcam,,41.45,Heather
2025-09-05,Monitor,10.0,171.17,Kyle
2025-10-21,Monitor,1.0,115.3,Amanda
2025-10-20,Auriculares,2.0,50.31,Amber
2025-10-21,Auriculares,6.0,84.98,Emily
2025-10-20,Laptop,5.0,611.66,Franklin
2025-10-02,Monitor,5.0,221.76,Andrea
2025-10-24,Impresora,3.0,,
2025-11-01,Impresora,5.0,201.75,Cindy
2025-10-03,Webcam,9.0,34.17,Billy
2025-10-27,Impresora,3.0,159.16,
2025-10-07,Impresora,9.0,177.55,Gregory
2025-10-05,Laptop,,624.69,Tiffany
2025-10-15,Teclado,5.0,36.91,Vicki
2025-09-26,Mouse,2.0,40.34,Kenneth
2025-10-12,Laptop,8.0,758.42,
2025-09-14,Webcam,,73.0,Charles
2025-09-28,Mouse,8.0,30.7,
2025-09-05,Impresora,10.0,168.68,Carolyn
2025-09-21,Monitor,4.0,262.19,Jack
2025-10-10,Impresora,5.0,151.52,Wendy
2025-10-27,Monitor,6.0,158.83,Deborah
2025-11-03,Monitor,4.0,255.4,Tyler
2025-09-16,Mouse,2.0,19.83,Sara
2025-10-06,Teclado,10.0,60.11,Jasmine
2025-09-26,Mouse,1.0,26.34,Lisa
2025-10-31,Laptop,,692.7,Jeffery
2025-09-29,Laptop,6.0,673.1,Jennifer
2025-10-18,Laptop,8.0,635.62,Nicole
2025-10-30,Mouse,,24.43,Alyssa
2025-09-25,Mouse,10.0,22.24,Dustin
2025-10-13,Monitor,4.0,138.4,Ryan
2025-09-15,Webcam,2.0,34.88,Elizabeth
2025-10-24,Laptop,7.0,713.82,
2025-10-05,Teclado,1.0,33.06,Erica
2025-09-23,Auriculares,2.0,70.36,Christopher
2025-09-15,Laptop,2.0,640.38,Patrick
2025-09-19,Mouse,4.0,29.18,Francisco
2025-10-02,Mouse,3.0,20.72,Isaiah
2025-09-13,Teclado,8.0,43.51,Jennifer
2025-09-18,Mouse,9.0,27.23,Angela
2025-10-04,Laptop,1.0,677.53,Haley
2025-09-08,Auriculares,2.0,98.03,Rebecca
2025-09-05,Webcam,4.0,49.87,Adam
2025-09-29,Mouse,,17.37,Adrian
2025-09-22,Laptop,3.0,,George
2025-09-06,Monitor,8.0,259.8,
2025-10-16,Teclado,7.0,,Philip
2025-10-31,Auriculares,9.0,123.3,Mark
2025-09-28,Auriculares,8.0,42.61,John
2025-09-14,Mouse,,,Susan
2025-09-26,Impresora,9.0,169.54,Karen
2025-10-06,Laptop,10.0,,Daniel
2025-09-28,Monitor,9.0,206.28,Louis
2025-09-09,Webcam,9.0,44.96,Blake
2025-09-27,Laptop,3.0,694.68,Tonya
2025-09-14,Laptop,4.0,600.78,Kevin
2025-10-14,Monitor,2.0,186.27,Thomas
2025-10-26,Impresora,10.0,,Stephanie
2025-10-05,Laptop,7.0,807.46,Becky
2025-10-10,Auriculares,5.0,38.96,
2025-10-21,Mouse,6.0,,
2025-10-08,Mouse,5.0,24.58,Robert
2025-11-01,Monitor,6.0,241.08,Christina
2025-10-20,Webcam,10.0,51.89,Susan
2025-10-15,Impresora,2.0,148.39,Bonnie
2025-10-16,Laptop,,607.65,Nicholas
2025-09-22,Teclado,2.0,41.66,Laurie
2025-10-01,Mouse,9.0,,Meredith
2025-10-08,Auriculares,5.0,68.57,Catherine
2025-10-20,Impresora,9.0,204.14,Dylan
2025-09-17,Laptop,9.0,685.3,
2025-10-28,Teclado,3.0,50.1,
2025-09-17,Teclado,2.0,42.67,Keith
2025-09-14,Laptop,5.0,697.79,Michael
2025-11-01,Impresora,4.0,,Michele
2025-09-25,Auriculares,5.0,43.19,Alexander
2025-10-06,Impresora,8.0,188.18,Susan
2025-09-20,Teclado,,64.23,Vincent
2025-09-27,Auriculares,,38.32,
2025-09-29,Webcam,3.0,49.79,Cynthia
2025-10-06,Auriculares,5.0,61.66,Kevin
2025-10-13,Mouse,7.0,,Robert
2025-10-11,Impresora,1.0,112.06,Kimberly
2025-09-23,Laptop,3.0,847.57,Jacob
2025-10-30,Impresora,1.0,178.3,Jonathan
2025-10-20,Webcam,7.0,37.05,Brad
2025-09-10,Mouse,1.0,32.43,
2025-09-17,Teclado,1.0,26.59,Megan
2025-09-12,Teclado,4.0,65.97,Kirk
2025-10-12,Auriculares,9.0,,Bruce
2025-10-20,Webcam,7.0,56.99,Kyle
2025-10-13,Impresora,4.0,149.78,Christine
2025-10-24,Webcam,3.0,15.79,Keith
2025-09-23,Webcam,1.0,61.54,Robert
2025-09-17,Mouse,6.0,9.67,Eric
2025-10-06,Webcam,4.0,74.49,Allison
2025-10-04,Teclado,3.0,35.9,Paul
2025-10-28,Webcam,1.0,45.56,Darrell
2025-09-25,Webcam,8.0,35.96,Angela
2025-09-12,Mouse,6.0,30.58,Bryan
2025-09-08,Teclado,4.0,70.53,Thomas
2025-09-05,Mouse,,30.18,Jared
2025-09-14,Teclado,2.0,46.16,Marc
2025-09-06,Webcam,7.0,46.09,Ashley
2025-10-17,Auriculares,9.0,88.17,Donald
2025-09-14,Teclado,5.0,50.51,Brittney
2025-09-17,Mouse,10.0,23.52,Ashley
2025-09-10,Teclado,6.0,60.7,Shawn
2025-10-19,Auriculares,,66.42,Robin
2025-09-23,Monitor,7.0,182.4,Jeffrey
2025-10-24,Impresora,4.0,127.78,Adriana
